With 7000 train/test data and 10 hidden nodes, accuracy is 0.9886557005104935
With 7000 train/test data and 20 hidden nodes, accuracy is 0.994895065229722
With 7000 train/test data and 30 hidden nodes, accuracy is 0.996596710153148
With 7000 train/test data and 40 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 50 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 60 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 70 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 80 hidden nodes, accuracy is 0.9977311401020987
With 7000 train/test data and 90 hidden nodes, accuracy is 0.9977311401020987
With 7000 train/test data and 100 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 110 hidden nodes, accuracy is 0.9977311401020987
With 7000 train/test data and 120 hidden nodes, accuracy is 0.9977311401020987
With 7000 train/test data and 130 hidden nodes, accuracy is 0.9977311401020987
With 7000 train/test data and 140 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 150 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 160 hidden nodes, accuracy is 0.9977311401020987
With 7000 train/test data and 170 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 180 hidden nodes, accuracy is 0.9971639251276234
With 7000 train/test data and 190 hidden nodes, accuracy is 0.9971639251276234
